app_name,u50_slow_freq,u50_fast_freq,u280_slow_freq,u280_fast_freq,u280_ddr_slow_freq,u280_ddr_fast_freq
cl_array_partition,200,303.3,200,284,200,314.7
cl_burst_rw,200,549.7,200,518.1,200,471.2
cl_dataflow_func,200,565.2,200,493,200,425.5
cl_dataflow_subfunc,200,532.7,200,547.9,200,435.3
cl_helloworld,200,536.4,200,490.1,200,413.3
cl_lmem_2rw,200,522.4,200,501.5,200,443.6
cl_loop_reorder,200,350.3,200,350.7,200,310.5
cl_partition_cyclicblock,200,294.7,200,250,200,250
cl_shift_register,200,434.7,200,424.2,200,438.2
cl_systolic_array,200,290.9,200,250,200,250
cl_gmem_2banks,300,427.3,300,426.4,300,416.3
cl_wide_mem_rw,300,540.5,300,551.8,300,442.2
cl_wide_mem_rw_strm,300,574.3,300,581.3,300,413.3
cl_wide_mem_rw_2x,300,549.4,300,533.9,300,486.8
cl_wide_mem_rw_4x,300,517,300,512.2,300,512
3d-rendering,,,,,,
digit-recognition,,,,,,
optical-flow,,,,,,
spam-filter,,,,,,
