app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,5.4974199183999986,u280_hbm,5.074911578999998,u280_ddr,1.0832543252868367
cl_burst_rw,1.3008736086,u280_ddr,1.1131243932000001,u50_hbm,1.168668674001708
cl_dataflow_func,0.5513969740999999,u280_ddr,0.4193863257999999,u50_hbm,1.314770988415474
cl_dataflow_subfunc,0.5420904202,u280_ddr,0.4272382187,u280_hbm,1.268824736348429
cl_helloworld,0.8192129579,u280_ddr,0.6652245137,u50_hbm,1.2314834180471061
cl_lmem_2rw,0.8214112508999998,u280_ddr,0.7054053572,u50_hbm,1.1644528107363228
cl_loop_reorder,1.7369593235999998,u280_ddr,1.5760552364,u280_hbm,1.102092923828948
cl_partition_cyclicblock,13.1118262172,u280_hbm,11.538609075100002,u50_hbm,1.136343742288224
cl_shift_register,58.2107878997,u280_ddr,58.2107878997,u280_ddr,1.0
cl_systolic_array,3.7070166614,u280_hbm,3.6473857855,u50_hbm,1.016348935760253
cl_gmem_2banks,9.7466004879,u280_hbm,9.5444417514,u50_hbm,1.0211807816282545
cl_wide_mem_rw,11.2006218858,u50_hbm,11.1458341442,u280_hbm,1.004915535337345
cl_wide_mem_rw_strm,8.2571233839,u50_hbm,8.2535580727,u280_hbm,1.0004319726315118
cl_wide_mem_rw_2x,7.901124318999998,u280_ddr,7.713275426099997,u50_hbm,1.024353971889084
cl_wide_mem_rw_4x,7.437506006400001,u280_ddr,6.5009564312000006,u50_hbm,1.1440633520792762
