app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,15.277103122789413,15.277103122789413,0.0,32768,16384,16000,7.946011209,0.0,0.259303881,0.0,6.92073725,0.0,0.205498402,0.0
cl_burst_rw,9.26246503693983,9.26246503693983,0.0,524288,524288,1000,2.520642292,0.0,0.068609456,0.0,2.307510389,0.0,0.056058992,0.0
cl_dataflow_func,7.83468709490262,7.83468709490262,0.0,524288,524288,1000,1.096014313,0.0,0.070109042,0.0,0.886994925,0.0,0.055705077,0.0
cl_dataflow_subfunc,8.227170178899541,8.227170178899541,0.0,524288,524288,1000,1.101282626,0.0,0.07138619,0.0,0.886819563,0.0,0.056879906,0.0
cl_helloworld,8.791022278135642,8.791022278135642,0.0,524288,262144,1000,1.568134499,0.0,0.074257739,0.0,1.373379194,0.0,0.034797793,0.0
cl_lmem_2rw,8.598905527032912,8.598905527032912,0.0,524288,262144,1000,1.709244779,0.0,0.057426453,0.0,1.532934842,0.0,0.034572992,0.0
cl_loop_reorder,9.627295851008967,9.627295851008967,0.0,32768,16384,16000,2.830707725,0.0,0.262806258,0.0,1.780148835,0.0,0.199733417,0.0
cl_partition_cyclicblock,21.93926271912642,21.93926271912642,0.0,32768,16384,16000,14.504915373,0.0,0.270660724,0.0,13.470056606,0.0,0.194700826,0.0
cl_shift_register,38.16653796285391,38.16653796285391,0.0,524332,524288,1000,30.848761699,0.0,0.072444442,0.0,30.550801581,0.0,0.056809485,0.0
cl_systolic_array,13.710894952062517,13.710894952062517,0.0,4608,2304,65400,6.199589456,0.0,0.928616021,0.0,2.172959417,0.0,0.754252637,0.0
cl_gmem_2banks,17.227872328832746,17.227872328832746,0.0,71663616,71663616,500,9.237444851,0.0,3.579716621,0.0,2.463742001,0.0,3.024546694,0.0
cl_wide_mem_rw,15.838561568874866,15.838561568874866,0.0,33554432,16777216,1000,8.426864725,0.0,2.780336214,0.0,4.021981123,0.0,1.434211259,0.0
cl_wide_mem_rw_strm,14.53094944008626,14.53094944008626,0.0,33554432,16777216,1000,6.724609958,0.0,2.785403375,0.0,2.309958191,0.0,1.43765092,0.0
cl_wide_mem_rw_2x,14.867083442863077,14.867083442863077,0.0,33554432,16777216,1000,7.196356308,0.0,3.903797433,0.0,1.890123435,0.0,1.400441115,0.0
cl_wide_mem_rw_4x,15.798867346951738,15.798867346951738,0.0,33554432,16777216,1000,7.013521308,0.0,3.97032128,0.0,1.624851344,0.0,1.415012107,0.0
