app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,17.58625832598773,17.58625832598773,0,32768,16384,16000,9.453418174,0.350246418,7.044773303,0.413527342
cl_burst_rw,7.52838494698517,7.52838494698517,0,524288,524288,1000,2.995172705,0.114796538,2.481229336,0.1183199
cl_dataflow_func,5.755723715003114,5.755723715003114,0,524288,524288,1000,1.169677935,0.083902986,0.820622351,0.079029212
cl_dataflow_subfunc,5.869621616002405,5.869621616002405,0,524288,524288,1000,1.210096864,0.094116571,0.817755559,0.112387235
cl_helloworld,6.472708402987337,6.472708402987337,0,524288,262144,1000,1.818835555,0.113109528,1.437732316,0.054171909
cl_lmem_2rw,6.67017217099783,6.67017217099783,0,524288,262144,1000,2.142320039,0.115883693,1.653568741,0.106472937
cl_loop_reorder,11.900648615002865,11.900648615002865,0,32768,16384,16000,3.764310163,0.318212277,1.799477212,0.299204818
cl_partition_cyclicblock,27.254475870984606,27.254475870984606,0,32768,16384,16000,19.167798839,0.702613676,14.912730262,0.841303659
cl_shift_register,65.97850908801774,65.97850908801774,0,524332,524288,1000,61.011634647,0.110269035,60.491758519,0.128468895
cl_systolic_array,30.51345310601755,30.51345310601755,0,4608,2304,65400,10.485537578,1.230547866,2.436323236,1.195028986
cl_gmem_2banks,21.747651482990477,21.747651482990477,0,71663616,71663616,500,9.141551179,3.127201865,2.872762128,2.887379039
cl_wide_mem_rw,15.985178123984952,15.985178123984952,0,33554432,16777216,1000,10.699593023,4.371714604,4.385584303,1.51604465
cl_wide_mem_rw_strm,14.656046326999785,14.656046326999785,0,33554432,16777216,1000,8.926017418,4.357986841,2.57889213,1.499469719
