app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,11.786446888999762,11.786446888999762,0.0,32768,16384,16000,7.887891274,0.0,0.246164659,0.0,6.857806163,0.0,0.213393508,0.0
cl_burst_rw,5.97000576299979,5.97000576299979,0.0,524288,524288,1000,2.48816968,0.0,0.057745042,0.0,2.272128788,0.0,0.057168577,0.0
cl_dataflow_func,4.682868142999723,4.682868142999723,0.0,524288,524288,1000,1.017382658,0.0,0.06009948,0.0,0.804944746,0.0,0.056457304,0.0
cl_dataflow_subfunc,4.68216494499984,4.68216494499984,0.0,524288,524288,1000,1.020315942,0.0,0.060553582,0.0,0.805500855,0.0,0.056813574,0.0
cl_helloworld,5.0980369529997915,5.0980369529997915,0.0,524288,262144,1000,1.545771404,0.0,0.075913571,0.0,1.337452094,0.0,0.034785991,0.0
cl_lmem_2rw,5.120621263999965,5.120621263999965,0.0,524288,262144,1000,1.674027554,0.0,0.076137687,0.0,1.465644781,0.0,0.034646744,0.0
cl_loop_reorder,6.437279235000005,6.437279235000005,0.0,32768,16384,16000,2.792209215,0.0,0.26634446,0.0,1.712527164,0.0,0.201625102,0.0
cl_partition_cyclicblock,18.139352003000113,18.139352003000113,0.0,32768,16384,16000,14.335340759,0.0,0.245990336,0.0,13.405123422,0.0,0.20086413,0.0
cl_shift_register,64.30680166399998,64.30680166399998,0.0,524332,524288,1000,60.461878971,0.0,0.061651232,0.0,60.267321085,0.0,0.056545023,0.0
cl_systolic_array,9.849375282999972,9.849375282999972,0.0,4608,2304,65400,6.139462738,0.0,0.933722857,0.0,2.087879833,0.0,0.754949952,0.0
cl_gmem_2banks,13.792828399999962,13.792828399999962,0.0,71663616,71663616,500,8.763271851,0.0,3.036779683,0.0,2.732299445,0.0,2.808125279,0.0
cl_wide_mem_rw,13.866140274999907,13.866140274999907,0.0,33554432,16777216,1000,9.81333433,0.0,4.121260972,0.0,4.141411519,0.0,1.345870747,0.0
cl_wide_mem_rw_strm,12.62407796000025,12.62407796000025,0.0,33554432,16777216,1000,7.983458239,0.0,4.121428391,0.0,2.309263767,0.0,1.347954576,0.0
cl_wide_mem_rw_2x,12.037330220000058,12.037330220000058,0.0,33554432,16777216,1000,6.686704969,0.0,3.91937942100001,0.0,1.187197341,0.0,1.578192798,0.0
cl_wide_mem_rw_4x,13.864478727999995,13.864478727999995,0.0,33554432,16777216,1000,6.042659187,0.0,3.831445948,0.0,0.631738524999999,0.0,1.576028948,0.0
