app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,5.458345607499999,u280_hbm,5.059306996399999,u280_ddr,1.0788721877094907
cl_burst_rw,1.1472569531,u280_ddr,1.0045015264,u50_hbm,1.1421156891733322
cl_dataflow_func,0.5515381739,u280_ddr,0.4171220519999999,u50_hbm,1.322246501366943
cl_dataflow_subfunc,0.5418167402999998,u280_ddr,0.4261824587999998,u280_hbm,1.271325764616383
cl_helloworld,0.8143789772,u280_ddr,0.6611816513000001,u50_hbm,1.231702325070254
cl_lmem_2rw,0.8186920411999999,u280_ddr,0.6984361333999999,u50_hbm,1.1721788178606856
cl_loop_reorder,1.7155253508999997,u280_ddr,1.5611154106999996,u280_hbm,1.0989100095621778
cl_partition_cyclicblock,11.2613595697,u280_hbm,9.8377962859,u50_hbm,1.1447034724474137
cl_shift_register,57.9185626731,u280_ddr,57.9185626731,u280_ddr,1.0
cl_systolic_array,3.697679469,u280_hbm,3.6336830659,u50_hbm,1.017611993654749
cl_gmem_2banks,8.770412522800001,u280_hbm,8.5428089121,u280_ddr,1.0266427135432732
cl_wide_mem_rw,10.5713840898,u280_hbm,10.5713840898,u280_hbm,1.0
cl_wide_mem_rw_strm,7.6681289574,u50_hbm,7.665763778900001,u280_hbm,1.0003085378793577
cl_wide_mem_rw_2x,7.1625720211,u280_ddr,6.7202285478,u50_hbm,1.0658226829866984
cl_wide_mem_rw_4x,7.062444655900001,u280_ddr,6.1417333338,u50_hbm,1.1499106639868293
