app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,16.504029016999993,16.504029016999993,0.0,32768,16384,16000,8.570427421,0.0,0.259717775,0.0,6.935364762,0.0,0.203329548,0.0
cl_burst_rw,10.4390568660001,10.4390568660001,0.0,524288,524288,1000,2.681268017,0.0,0.069112054,0.0,2.307699941,0.0,0.056976329,0.0
cl_dataflow_func,8.893038342999944,8.893038342999944,0.0,524288,524288,1000,1.263983146,0.0,0.070477219,0.0,0.888801447,0.0,0.056520599,0.0
cl_dataflow_subfunc,8.413042447999942,8.413042447999942,0.0,524288,524288,1000,1.265383585,0.0,0.071606271,0.0,0.887119285,0.0,0.05650161,0.0
cl_helloworld,9.408932199999981,9.408932199999981,0.0,524288,262144,1000,1.730043503,0.0,0.074218298,0.0,1.373669928,0.0,0.034631926,0.0
cl_lmem_2rw,9.097385315999873,9.097385315999873,0.0,524288,262144,1000,1.877533647,0.0,0.057456326,0.0,1.533490856,0.0,0.034381407,0.0
cl_loop_reorder,11.162225618000093,11.162225618000093,0.0,32768,16384,16000,3.636414166,0.0,0.254329513,0.0,1.782414354,0.0,0.195122614,0.0
cl_partition_cyclicblock,23.62554053000008,23.62554053000008,0.0,32768,16384,16000,15.09179384,0.0,0.257684605,0.0,13.473439028,0.0,0.195132517,0.0
cl_shift_register,89.11927917699995,89.11927917699995,0.0,524332,524288,1000,81.279338216,0.0,0.072349948,0.0,80.901041036,0.0,0.059115855,0.0
cl_systolic_array,17.993811678000156,17.993811678000156,0.0,4608,2304,65400,9.377503423,0.0,0.944174328,0.0,2.178521816,0.0,0.85258186,0.0
cl_gmem_2banks,17.571502549999877,17.571502549999877,0.0,71663616,71663616,500,8.780210733,0.0,3.300339045,0.0,2.463520189,0.0,2.807809795,0.0
cl_wide_mem_rw,15.93250948900004,15.93250948900004,0.0,33554432,16777216,1000,8.35496366,0.0,2.736132993,0.0,4.022090385,0.0,1.345502348,0.0
cl_wide_mem_rw_strm,14.75963557099999,14.75963557099999,0.0,33554432,16777216,1000,6.659071105,0.0,2.744043406,0.0,2.310237881,0.0,1.353309383,0.0
cl_wide_mem_rw_2x,15.649934884999993,15.649934884999993,0.0,33554432,16777216,1000,7.228024976,0.0,3.915607264,0.0,1.922386323,0.0,1.366263989,0.0
cl_wide_mem_rw_4x,15.48942618000001,15.48942618000001,0.0,33554432,16777216,1000,6.992008975,0.0,3.893532641,0.0,1.668550819,0.0,1.380263011,0.0
