app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,11.42454851499997,11.42454851499997,0.0,32768,16384,16000,6.630395576,0.0,0.247807947,0.0,5.013402706,0.0,0.198750113,0.0
cl_burst_rw,5.52784858300015,5.52784858300015,0.0,524288,524288,1000,1.200471603,0.0,0.05711643,0.0,0.940460969,0.0,0.056879986,0.0
cl_dataflow_func,5.121317246999979,5.121317246999979,0.0,524288,524288,1000,0.598349668,0.0,0.060741344,0.0,0.339403441,0.0,0.056159204,0.0
cl_dataflow_subfunc,5.209257202000117,5.209257202000117,0.0,524288,524288,1000,0.671720106,0.0,0.060746969,0.0,0.308685672,0.0,0.056619366,0.0
cl_helloworld,5.477022201999944,5.477022201999944,0.0,524288,262144,1000,0.95626373,0.0,0.076378652,0.0,0.597432318,0.0,0.034601248,0.0
cl_lmem_2rw,5.409259109000004,5.409259109000004,0.0,524288,262144,1000,0.970461438,0.0,0.075802167,0.0,0.608729703,0.0,0.034628918,0.0
cl_loop_reorder,7.558825560000059,7.558825560000059,0.0,32768,16384,16000,2.956182819,0.0,0.246779501,0.0,1.109419152,0.0,0.192420652,0.0
cl_partition_cyclicblock,17.28917388800005,17.28917388800005,0.0,32768,16384,16000,12.426499748,0.0,0.25448364,0.0,10.80732,0.0,0.201452139,0.0
cl_shift_register,41.17418691499984,41.17418691499984,0.0,524332,524288,1000,36.458165761,0.0,0.061666366,0.0,36.203905279,0.0,0.05679519,0.0
cl_systolic_array,14.480316047000088,14.480316047000088,0.0,4608,2304,65400,9.009797891,0.0,0.901566507,0.0,1.971270083,0.0,0.76964802,0.0
cl_gmem_2banks,14.859575377000056,14.859575377000056,0.0,71663616,71663616,500,8.833417345,0.0,3.080587148,0.0,2.732274114,0.0,2.808778264,0.0
cl_wide_mem_rw,15.560259700000188,15.560259700000188,0.0,33554432,16777216,1000,10.645950349,0.0,4.116525244,0.0,4.929286849,0.0,1.346757075,0.0
cl_wide_mem_rw_strm,13.237203369000099,13.237203369000099,0.0,33554432,16777216,1000,7.76397486,0.0,4.130147472,0.0,2.024486595,0.0,1.353073901,0.0
cl_wide_mem_rw_2x,13.326061563999929,13.326061563999929,0.0,33554432,16777216,1000,6.598227643,0.0,3.952028044,0.0,1.077693002,0.0,1.544077022,0.0
cl_wide_mem_rw_4x,14.321140211000056,14.321140211000056,0.0,33554432,16777216,1000,6.116511161,0.0,3.89464969400001,0.0,0.622056076,0.0,1.549609163,0.0
