app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,21.431105601834133,21.431105601834133,0,32768,16384,16000,21.2136267,0.999993228,7.274411119,0.680133504
cl_burst_rw,8.081990746082738,8.081990746082738,0,524288,524288,1000,8.001367119,0.13219546,2.447207356,0.133777005
cl_dataflow_func,6.225047912914306,6.225047912914306,0,524288,524288,1000,6.151929041,0.125671139,0.822912221,0.138343066
cl_dataflow_subfunc,6.02101443707943,6.02101443707943,0,524288,524288,1000,5.923061414,0.130648698,0.871428085,0.128836752
cl_helloworld,7.520193320000544,7.520193320000544,0,524288,262144,1000,7.162495163,0.177239902,1.528968873,0.100810794
cl_lmem_2rw,7.13635714398697,7.13635714398697,0,524288,262144,1000,7.05241488,0.104820165,1.624109577,0.048766861
cl_loop_reorder,15.915516862878576,15.915516862878576,0,32768,16384,16000,15.739504449,0.387962869,1.776477432,0.488038574
cl_partition_cyclicblock,29.834833903005347,29.834833903005347,0,32768,16384,16000,29.669695543,1.090905339,14.587950649,0.802699757
cl_shift_register,66.15198018285446,66.15198018285446,0,524332,524288,1000,66.017763999,0.147611765,60.473894861,0.089838225
cl_systolic_array,45.2213400201872,45.2213400201872,0,4608,2304,65400,44.770276573,1.593706183,2.392439837,1.868409466
cl_gmem_2banks,15.829912221059203,15.829912221059203,0,71663616,71663616,500,14.745873007,3.70856276,2.86388252,2.914133417
cl_wide_mem_rw,15.975497351959348,15.975497351959348,0,33554432,16777216,1000,15.730899387,4.432452838,4.39357352,1.70545914
cl_wide_mem_rw_strm,15.085140205919743,15.085140205919743,0,33554432,16777216,1000,14.843774436,4.441618067,2.560364513,1.685845234
