app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,12.780016439999997,12.780016439999997,0.0,32768,16384,16000,8.519358171,0.0,0.252531366,0.0,6.867677907,0.0,0.192307001,0.0
cl_burst_rw,6.511949715000014,6.511949715000014,0.0,524288,524288,1000,2.646649322,0.0,0.058232689,0.0,2.272742433,0.0,0.05704022,0.0
cl_dataflow_func,5.000777328999959,5.000777328999959,0.0,524288,524288,1000,1.177056785,0.0,0.060783938,0.0,0.805093705,0.0,0.056651456,0.0
cl_dataflow_subfunc,5.097202418999984,5.097202418999984,0.0,524288,524288,1000,1.177201036,0.0,0.061116116,0.0,0.80497092,0.0,0.056608824,0.0
cl_helloworld,5.521020624000016,5.521020624000016,0.0,524288,262144,1000,1.70505043,0.0,0.076322625,0.0,1.338007431,0.0,0.034619368,0.0
cl_lmem_2rw,5.609244387999979,5.609244387999979,0.0,524288,262144,1000,1.833788218,0.0,0.07576412,0.0,1.465629299,0.0,0.034487072,0.0
cl_loop_reorder,7.719614664000005,7.719614664000005,0.0,32768,16384,16000,3.584661051,0.0,0.253375146,0.0,1.717596909,0.0,0.203570491,0.0
cl_partition_cyclicblock,19.284909582999944,19.284909582999944,0.0,32768,16384,16000,15.040443904,0.0,0.268533124,0.0,13.413443855,0.0,0.194749947,0.0
cl_shift_register,64.77008047200002,64.77008047200002,0.0,524332,524288,1000,60.630673206,0.0,0.063544925,0.0,60.266189877,0.0,0.058239371,0.0
cl_systolic_array,14.152821474000007,14.152821474000007,0.0,4608,2304,65400,9.31329547,0.0,1.047775181,0.0,2.088709993,0.0,0.763369419,0.0
cl_gmem_2banks,14.475355183000033,14.475355183000033,0.0,71663616,71663616,500,8.829816379,0.0,3.054800539,0.0,2.732053955,0.0,2.822386643,0.0
cl_wide_mem_rw,14.172296286000005,14.172296286000005,0.0,33554432,16777216,1000,9.869814948,0.0,4.119131639,0.0,4.145698171,0.0,1.344380187,0.0
cl_wide_mem_rw_strm,12.86173322000002,12.86173322000002,0.0,33554432,16777216,1000,8.051504924,0.0,4.126305946,0.0,2.309395778,0.0,1.353501997,0.0
cl_wide_mem_rw_2x,12.302220444999989,12.302220444999989,0.0,33554432,16777216,1000,6.824493,0.0,3.97101782700001,0.0,1.219744475,0.0,1.609663431,0.0
cl_wide_mem_rw_4x,14.445419965000042,14.445419965000042,0.0,33554432,16777216,1000,6.253539274,0.0,3.908498849,0.0,0.691733311999999,0.0,1.602985502,0.0
