app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,23.2771746115759,23.2771746115759,0,32768,16384,16000,11.90450793,1.27306251,5.7609329,1.100045783
cl_burst_rw,10.413121755234897,10.413121755234897,0,524288,524288,1000,1.929539833,0.14731291,1.241286561,0.120903051
cl_dataflow_func,9.719495647586882,9.719495647586882,0,524288,524288,1000,1.233032638,0.169015303,0.559646363,0.144175245
cl_dataflow_subfunc,9.498902896419168,9.498902896419168,0,524288,524288,1000,1.155868439,0.167701327,0.499186625,0.150970146
cl_helloworld,10.517133684828877,10.517133684828877,0,524288,262144,1000,1.568514036,0.160107177,0.886102998,0.143427927
cl_lmem_2rw,10.00964222382754,10.00964222382754,0,524288,262144,1000,1.489522465,0.174895428,0.871991289,0.121677547
cl_loop_reorder,14.40654319524765,14.40654319524765,0,32768,16384,16000,3.987976211,0.469836915,1.429402133,0.417872515
cl_partition_cyclicblock,29.900580351240933,29.900580351240933,0,32768,16384,16000,18.712418959,1.217144835,12.540459654,1.058298674
cl_shift_register,67.61539279669523,67.61539279669523,0,524332,524288,1000,58.228829716,0.16604839,57.454332334,0.173222471
cl_systolic_array,45.29312725458294,45.29312725458294,0,4608,2304,114000,21.173456523,2.964275623,4.27264055,2.616253618
cl_gmem_2banks,28.695903627201915,28.695903627201915,0,71663616,71663616,500,10.492803442,4.1334811,2.422269756,3.601718342
cl_wide_mem_rw,19.385970470495522,19.385970470495522,0,33554432,16777216,1000,10.381727753,3.092235114,4.893202012,1.73096542
cl_wide_mem_rw_strm,17.49386653676629,17.49386653676629,0,33554432,16777216,1000,7.914382506,3.094961698,2.453053475,1.730530102
cl_wide_mem_rw_2x,17.672916870564222,17.672916870564222,0,33554432,16777216,1000,8.351628933,4.271801538,2.235224439,1.782018411
cl_wide_mem_rw_4x,18.51968954410404,18.51968954410404,0,33554432,16777216,1000,8.451960493,4.386827159,2.014511957,1.94393378
