app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,20.60280253458768,20.60280253458768,0,32768,16384,16000,9.913353589,0.473488145,7.183912295,0.485905832
cl_burst_rw,10.877846142277122,10.877846142277122,0,524288,524288,1000,2.930103245,0.111699104,2.466929579,0.083336272
cl_dataflow_func,8.390804065391421,8.390804065391421,0,524288,524288,1000,1.409094296,0.134602301,0.904724029,0.145219291
cl_dataflow_subfunc,8.801333107985556,8.801333107985556,0,524288,524288,1000,1.373171529,0.129690988,0.906819866,0.138396395
cl_helloworld,9.336099951528013,9.336099951528013,0,524288,262144,1000,1.998943962,0.121670625,1.469771519,0.110756811
cl_lmem_2rw,10.372908654622734,10.372908654622734,0,524288,262144,1000,2.27752418,0.149755263,1.710432506,0.074907036
cl_loop_reorder,13.96531249396503,13.96531249396503,0,32768,16384,16000,4.238514796,0.413942087,1.904477906,0.381201741
cl_partition_cyclicblock,30.80806236062199,30.80806236062199,0,32768,16384,16000,20.609090262,1.217729889,14.920077346,0.963786972
cl_shift_register,90.57238902989775,90.57238902989775,0,524332,524288,1000,81.85167969,0.169931501,81.104425176,0.154599846
cl_systolic_array,44.987025974318385,44.987025974318385,0,4608,2304,114000,21.04302926,2.746392528,4.685687589,2.703409877
cl_gmem_2banks,26.577170768752694,26.577170768752694,0,71663616,71663616,500,9.268557372,3.49027924,2.569626722,2.965937192
cl_wide_mem_rw,21.425904613919556,21.425904613919556,0,33554432,16777216,1000,12.679170946,3.061175712,7.280385383,1.714415724
cl_wide_mem_rw_strm,16.10082818288356,16.10082818288356,0,33554432,16777216,1000,7.884951494,3.057074677,2.533285282,1.699269248
cl_wide_mem_rw_2x,17.173928247764707,17.173928247764707,0,33554432,16777216,1000,8.101326487,4.1427998,2.243595271,1.660578415
cl_wide_mem_rw_4x,17.39252192992717,17.39252192992717,0,33554432,16777216,1000,7.527626612,3.911340207,1.953499926,1.567732037
