app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,19.661952565424144,19.661952565424144,0,32768,16384,16000,12.12262836,1.207036851,6.459477842,0.955513046
cl_burst_rw,7.111132554709911,7.111132554709911,0,524288,524288,1000,1.865446937,0.15071728,1.201900416,0.12856171
cl_dataflow_func,6.619660752825439,6.619660752825439,0,524288,524288,1000,0.850187945,0.139981086,0.379819057,0.148452263
cl_dataflow_subfunc,6.606543245725334,6.606543245725334,0,524288,524288,1000,0.817348129,0.137917713,0.350591321,0.142894539
cl_helloworld,6.866085387766361,6.866085387766361,0,524288,262144,1000,1.406392242,0.179921563,0.794697063,0.090480978
cl_lmem_2rw,7.192974299192429,7.192974299192429,0,524288,262144,1000,1.402214221,0.166349102,0.78896914,0.134748974
cl_loop_reorder,11.048108632676303,11.048108632676303,0,32768,16384,16000,3.62074764,0.413147819,1.254617721,0.378096926
cl_partition_cyclicblock,27.128131786361337,27.128131786361337,0,32768,16384,16000,19.374646418,1.31512523,12.979345245,1.090321128
cl_shift_register,43.14349703025073,43.14349703025073,0,524332,524288,1000,37.273322904,0.169497144,36.515163199,0.155891015
cl_systolic_array,42.32637819368392,42.32637819368392,0,4608,2304,114000,22.169098557,3.072417411,4.642815902,2.808392401
cl_gmem_2banks,25.641661329194903,25.641661329194903,0,71663616,71663616,500,10.667196197,3.934437911,2.878061946,3.561609129
cl_wide_mem_rw,18.374134820885956,18.374134820885956,0,33554432,16777216,1000,12.108589437,4.499861904,5.246458419,1.728693699
cl_wide_mem_rw_strm,15.78774510603398,15.78774510603398,0,33554432,16777216,1000,9.231216255,4.49926084,2.334120568,1.734136221
cl_wide_mem_rw_2x,15.588762947358191,15.588762947358191,0,33554432,16777216,1000,8.200950127,4.424213734,1.488257272,2.224783563
cl_wide_mem_rw_4x,17.273426889441907,17.273426889441907,0,33554432,16777216,1000,7.697884899,4.454651633,0.944004967,2.19410055200001
