app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,13.047571765,u280_hbm,7.764761373,u280_ddr,1.6803570822368916
cl_burst_rw,1.9501995509999999,u280_ddr,1.75409894,u50_hbm,1.1117956385060013
cl_dataflow_func,0.8327110830000001,u50_hbm,0.8327110830000001,u50_hbm,1.0
cl_dataflow_subfunc,1.081293028,u280_ddr,0.9646683870000001,u280_hbm,1.1208960950432802
cl_helloworld,1.414800279,u280_ddr,1.353528098,u50_hbm,1.0452684957855969
cl_lmem_2rw,1.541776735,u280_ddr,1.454979804,u50_hbm,1.0596550761470227
cl_loop_reorder,3.835513853,u280_ddr,3.551711997,u280_hbm,1.0799056500751516
cl_partition_cyclicblock,19.970491164000002,u280_hbm,17.989141683,u50_hbm,1.1101414128542
cl_shift_register,58.227488783,u280_ddr,58.227488783,u280_ddr,1.0
cl_systolic_array,20.604285304999998,u280_hbm,20.081420439000002,u50_hbm,1.0260372451036652
cl_wide_mem_rw,3.736519323,u280_hbm,3.736519323,u280_hbm,1.0
cl_wide_mem_rw_strm,2.998569815,u280_hbm,2.998569815,u280_hbm,1.0
cl_wide_mem_rw_2x,6.571947376,u280_ddr,5.658238939,u50_hbm,1.161482830055509
cl_wide_mem_rw_4x,13.020929565,u280_ddr,10.909450408,u50_hbm,1.193545877934569
