app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,12284.577259,u280_hbm,11697.629059,u280_ddr,1.0501766808504163
cl_burst_rw,1925.024701,u280_ddr,1710.195098,u50_hbm,1.125617014837216
cl_dataflow_func,1169.294405,u280_ddr,919.035901,u50_hbm,1.2723054711221777
cl_dataflow_subfunc,878.804957,u50_hbm,768.855836,u280_hbm,1.1430035591223633
cl_helloworld,1560.397954,u280_ddr,1403.513027,u50_hbm,1.111780171599362
cl_lmem_2rw,1463.702673,u280_ddr,1434.476121,u50_hbm,1.0203743733145072
cl_loop_reorder,3893.326789,u280_ddr,3607.50349,u50_hbm,1.0792302210634868
cl_partition_cyclicblock,20083.507621,u280_hbm,17980.211918,u50_hbm,1.1169783600211292
cl_shift_register,59018.919304,u280_ddr,37293.255596,u50_hbm,1.5825628082287955
cl_systolic_array,20533.031867,u280_hbm,20291.878999,u50_hbm,1.0118842058939876
cl_wide_mem_rw,3869.651305,u50_hbm,3390.753827,u280_ddr,1.14123628621654
cl_wide_mem_rw_strm,3066.178629,u280_hbm,2695.51514,u280_ddr,1.137511187935676
cl_wide_mem_rw_2x,2413.322443,u280_ddr,2286.970866,u50_hbm,1.055248441892482
cl_wide_mem_rw_4x,2110.830274,u280_ddr,1898.459687,u280_hbm,1.1118646808537682
