app_name,u50_max_throughput,u280_max_throughput,u280_ddr_max_throughput
cl_array_partition,1320000000.0,1240000000.0,
cl_burst_rw,1980000000.0,2000000000.0,
cl_dataflow_func,2000000000.0,2000000000.0,
cl_dataflow_subfunc,2000000000.0,2000000000.0,
cl_helloworld,2000000000.0,2000000000.0,
cl_lmem_2rw,2000000000.0,2000000000.0,
cl_loop_reorder,1280000000.0,1540000000.0,
cl_partition_cyclicblock,1220000000.0,1220000000.0,
cl_shift_register,1680000000.0,1720000000.0,
cl_systolic_array,1280000000.0,1400000000.0,
cl_wide_mem_rw,30720000000.0,32000000000.0,
3d-rendering,,,
digit-recognition,,,
optical-flow,,,
spam-filter,,,
